"country_code","female","male","total","prop_female"
"AR",176,2671,2847,0.0618194590797331
"AT",134,2918,3052,0.0439056356487549
"AU",187,2654,2841,0.0658218936994016
"BD",105,1945,2050,0.0512195121951219
"BE",172,2259,2431,0.0707527766351296
"BR",612,7553,8165,0.0749540722596448
"CA",422,4260,4682,0.0901324220418624
"CH",291,4473,4764,0.0610831234256927
"CN",178,2174,2352,0.0756802721088435
"CO",340,4661,5001,0.0679864027194561
"DE",277,5135,5412,0.0511825572801183
"DK",269,3832,4101,0.0655937576200927
"EG",341,3223,3564,0.095679012345679
"ES",371,5215,5586,0.0664160401002506
"FI",258,3551,3809,0.0677343134681019
"FR",194,3275,3469,0.0559238973767656
"GB",379,4919,5298,0.0715364288410721
"ID",370,3579,3949,0.0936946062294252
"IE",230,2890,3120,0.0737179487179487
"IN",381,6720,7101,0.0536544148711449
"IT",208,4647,4855,0.0428424304840371
"KR",122,1303,1425,0.0856140350877193
"MX",214,3039,3253,0.0657854288349216
"NL",397,5333,5730,0.0692844677137871
"NO",221,3211,3432,0.0643939393939394
"NZ",325,3129,3454,0.0940938042848871
"PH",306,1937,2243,0.136424431564868
"PK",174,4880,5054,0.0344281757024139
"PL",532,5748,6280,0.0847133757961783
"PT",372,4223,4595,0.0809575625680087
"RO",368,2896,3264,0.112745098039216
"RU",181,3278,3459,0.0523272622145129
"TR",359,5044,5403,0.0664445678326855
"TW",151,1513,1664,0.0907451923076923
"UA",420,4856,5276,0.0796057619408643
"US",3340,29370,32710,0.1021094466524
